iso3,ADMIN,country,ABBREV,ECONOMY,INCOME_GRP,continent,REGION_UN,SUBREGION,REGION_WB
TJK,Tajikistan,Tajikistan,Tjk.,6. Developing region,5. Low income,Asia,Asia,Central Asia,Europe & Central Asia
TKM,Turkmenistan,Turkmenistan,Turkm.,6. Developing region,3. Upper middle income,Asia,Asia,Central Asia,Europe & Central Asia
TLS,East Timor,East Timor,T.L.,7. Least developed region,4. Lower middle income,Asia,Asia,South-Eastern Asia,East Asia & Pacific
TON,Tonga,Tonga,Tongo,6. Developing region,4. Lower middle income,Oceania,Oceania,Polynesia,East Asia & Pacific
TTO,Trinidad and Tobago,Trinidad and Tobago,Tr.T.,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
TUN,Tunisia,Tunisia,Tun.,6. Developing region,3. Upper middle income,Africa,Africa,Northern Africa,Middle East & North Africa
TUR,Turkey,Turkey,Tur.,4. Emerging region: MIKT,3. Upper middle income,Asia,Asia,Western Asia,Europe & Central Asia
TUV,Tuvalu,Tuvalu,Tuv.,7. Least developed region,3. Upper middle income,Oceania,Oceania,Polynesia,East Asia & Pacific
TWN,Taiwan,Taiwan,Taiwan,2. Developed region: nonG7,2. High income: nonOECD,Asia,Asia,Eastern Asia,East Asia & Pacific
TZA,United Republic of Tanzania,Tanzania,Tanz.,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
UGA,Uganda,Uganda,Uga.,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
UKR,Ukraine,Ukraine,Ukr.,6. Developing region,4. Lower middle income,Europe,Europe,Eastern Europe,Europe & Central Asia
URY,Uruguay,Uruguay,Ury.,5. Emerging region: G20,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean
US1,United States of America,United States of America,U.S.A.,1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,North America
UZB,Uzbekistan,Uzbekistan,Uzb.,6. Developing region,4. Lower middle income,Asia,Asia,Central Asia,Europe & Central Asia
VAT,Vatican,Vatican City,Vat.,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Southern Europe,Europe & Central Asia
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,St.V.G.,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
VEN,Venezuela,Venezuela,Ven.,5. Emerging region: G20,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean
VNM,Vietnam,Vietnam,Viet.,5. Emerging region: G20,4. Lower middle income,Asia,Asia,South-Eastern Asia,East Asia & Pacific
VUT,Vanuatu,Vanuatu,Van.,7. Least developed region,4. Lower middle income,Oceania,Oceania,Melanesia,East Asia & Pacific
WSM,Samoa,Samoa,Samoa,7. Least developed region,4. Lower middle income,Oceania,Oceania,Polynesia,East Asia & Pacific
YEM,Yemen,Yemen,Yem.,7. Least developed region,4. Lower middle income,Asia,Asia,Western Asia,Middle East & North Africa
ZAF,South Africa,South Africa,S.Af.,5. Emerging region: G20,3. Upper middle income,Africa,Africa,Southern Africa,Sub-Saharan Africa
ZMB,Zambia,Zambia,Zambia,7. Least developed region,4. Lower middle income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
ZWE,Zimbabwe,Zimbabwe,Zimb.,5. Emerging region: G20,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
