iso3,ADMIN,country,ABBREV,ECONOMY,INCOME_GRP,continent,REGION_UN,SUBREGION,REGION_WB
GB1,Falkland Islands,Falkland Islands,Flk. Is.,2. Developed region: nonG7,1. High income: OECD,South America,Americas,South America,Latin America & Caribbean
VUT,Vanuatu,Vanuatu,Van.,7. Least developed region,4. Lower middle income,Oceania,Oceania,Melanesia,East Asia & Pacific
NZ1,Niue,Niue,Niue,6. Developing region,3. Upper middle income,Oceania,Oceania,Polynesia,East Asia & Pacific
US1,American Samoa,American Samoa,Am. Samoa,6. Developing region,3. Upper middle income,Oceania,Oceania,Polynesia,East Asia & Pacific
PLW,Palau,Palau,Palau,6. Developing region,3. Upper middle income,Oceania,Oceania,Micronesia,East Asia & Pacific
US1,Guam,Guam,Guam,6. Developing region,2. High income: nonOECD,Oceania,Oceania,Micronesia,East Asia & Pacific
US1,Northern Mariana Islands,Northern Mariana Islands,N.M.I.,6. Developing region,2. High income: nonOECD,Oceania,Oceania,Micronesia,East Asia & Pacific
BHR,Bahrain,Bahrain,Bahr.,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Middle East & North Africa
AU1,Coral Sea Islands,Coral Sea Islands,C.S.I.,7. Least developed region,5. Low income,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific
PGA,Spratly Islands,Wake Island,Spratly Is.,7. Least developed region,5. Low income,Asia,Asia,South-Eastern Asia,East Asia & Pacific
FR1,Clipperton Island,Clipperton Island,Clp. I.,7. Least developed region,5. Low income,Seven seas (open ocean),Americas,Central America,Latin America & Caribbean
CH1,Macao S.A.R,Macau,Mac.,6. Developing region,2. High income: nonOECD,Asia,Asia,Eastern Asia,East Asia & Pacific
AU1,Ashmore and Cartier Islands,Ashmore and Cartier Islands,A.C.Is.,7. Least developed region,5. Low income,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific
BJN,Bajo Nuevo Bank (Petrel Is.),Bajo Nuevo Bank,,7. Least developed region,5. Low income,North America,Americas,Caribbean,Latin America & Caribbean
SER,Serranilla Bank,Serranilla Bank,S.B.,7. Least developed region,5. Low income,North America,Americas,Caribbean,Latin America & Caribbean
SCR,Scarborough Reef,Scarborough Shoal,S.R.,7. Least developed region,5. Low income,Asia,Asia,South-Eastern Asia,East Asia & Pacific
